"","NumOfC","NumOfN","NumHBondDonors","NumOfConf","parentspecies","C.C..non.aromatic.","hydroxyl..alkyl.","aldehyde","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","hydroperoxide","log_pSat_Pa"
"64",7,0,1,2.63905732961526,"toluene",0,0,0,0,0,1,0,0,0,-5.37337325357575
"65",7,1,2,5.57594910314632,"toluene",1,0,0,0,1,0,0,0,1,-6.33031094067574
"66",7,1,2,5.25227342804663,"toluene",0,0,1,0,0,0,0,0,2,-3.45528544670782
"67",8,2,2,6.09582456243222,"apin",0,0,0,0,0,0,1,0,2,-5.22036111835464
"68",7,1,2,4.46590811865458,"toluene",1,0,0,1,0,1,0,0,1,-7.09851276533325
"69",8,2,1,4.56434819146784,"apin",0,0,0,1,0,0,1,0,0,-2.51057309785652
"70",6,1,5,4.59511985013459,"toluene",1,3,0,0,0,0,0,1,2,-9.60837187731178
"71",7,1,1,4.77068462446567,"toluene",0,1,1,0,0,0,0,0,0,-3.93792558639828
"72",9,1,1,5.8406416573734,"decane",0,0,1,0,0,0,0,0,1,-6.61338707853776
"73",5,1,1,2.07944154167984,"toluene",0,0,0,0,0,1,0,1,1,1.35399677815657
"74",9,1,2,5.99893656194668,"apin",0,1,1,0,0,0,1,0,1,-7.74374654153443
"75",7,1,1,4.35670882668959,"toluene",0,0,0,0,0,0,0,0,0,-4.01241875427554
"76",7,0,4,5.36597601502185,"toluene",0,2,0,1,2,0,0,0,0,-8.71588280410761
"77",6,2,2,5.34233425196481,"toluene",0,0,0,0,0,0,1,1,2,-4.69433636896144
"78",7,1,2,4.67282883446191,"toluene",1,0,2,0,0,1,1,0,1,-6.55666969690614
"79",7,1,3,5.63835466933375,"toluene",0,1,1,1,2,0,1,0,0,-7.73078566526732
"80",9,1,2,4.44265125649032,"apin",0,1,0,0,0,0,1,0,1,-7.14851355472904
"81",6,1,1,4.00733318523247,"toluene",0,0,0,0,1,0,1,0,1,-3.17640498852259
"82",7,2,3,5.07517381523383,"toluene",0,1,0,1,0,0,1,1,1,-7.8934332618433
"83",7,0,3,3.36729582998647,"toluene",0,2,0,0,0,0,0,0,1,-9.66225215770066
"84",6,0,3,5.11198778835654,"toluene",0,1,1,1,0,1,0,0,1,-5.17324271228805
"85",4,1,0,1.38629436111989,"toluene",0,0,1,0,0,1,1,0,0,2.96762194435242
"86",7,1,3,6.37842618365159,"apin",0,2,0,0,0,0,1,0,1,-4.57005854011474
"87",6,1,1,3.63758615972639,"toluene",0,1,1,0,0,0,1,0,0,-1.24620349251163
"88",5,0,3,5.8171111599632,"toluene",0,1,2,0,0,0,0,0,2,-4.23671868171684
"89",5,1,1,2.83321334405622,"toluene",0,0,0,0,0,0,0,0,0,-1.48304339058158
"90",6,1,2,5.31811999384422,"toluene",0,1,1,0,2,0,0,0,1,-2.39276808260558
"91",4,1,2,4.70048036579242,"toluene",0,0,0,0,0,0,0,0,1,-0.336062292438929
"92",7,2,2,6.00881318544259,"toluene",0,1,0,1,1,0,2,0,0,-6.39300500561734
"93",7,1,2,2.83321334405622,"toluene",1,1,0,1,0,1,0,1,0,-2.6466622898057
"94",7,2,1,3.87120101090789,"toluene",0,0,0,0,0,0,1,0,0,-2.1838035962646
"95",8,2,1,5.02388052084628,"apin",0,0,0,1,0,0,2,0,0,-3.16017759152976
"96",8,0,1,3.49650756146648,"apin",0,0,1,0,0,0,0,0,1,-1.85755960298102
"97",7,2,4,6.69703424766648,"toluene",0,2,1,1,0,0,1,1,1,-7.78089822828249
"98",6,2,3,6.15060276844628,"toluene",0,1,0,0,1,0,1,0,1,-6.40204433116504
"99",7,2,4,6.01615715969835,"toluene",0,3,1,0,0,0,0,1,1,-6.42236323475277
"100",4,1,2,5.37527840768417,"toluene",0,0,1,1,0,0,1,0,1,-3.84999662162563
"101",7,2,1,4.87519732320115,"apin",0,1,1,0,0,0,0,0,0,-2.29750597329496
"102",9,0,3,6.06378520868761,"decane",0,2,0,0,0,0,0,0,0,-11.3401264694707
"103",7,0,2,0,"toluene",0,2,1,0,0,0,0,0,0,-2.34541183442246
"104",10,2,1,4.07753744390572,"apin",0,1,0,0,0,0,2,0,0,-3.55991370748701
"105",6,2,2,5.71042701737487,"toluene",0,1,0,0,0,0,0,0,1,-1.74142113806759
"106",7,0,2,3.55534806148941,"toluene",1,1,1,1,0,1,0,0,0,-7.16119591227926
"107",7,1,2,3.73766961828337,"toluene",1,0,0,1,0,0,0,1,1,-5.79393383138609
"108",10,1,3,6.83625927727707,"apin",0,1,0,1,0,0,1,0,1,-11.7038239515402
"109",7,0,3,5.85220247977447,"toluene",0,1,1,1,1,0,0,0,1,-6.84793023695356
"110",7,1,4,6.62007320653036,"toluene",0,2,2,0,0,0,1,0,2,-12.9865310313662
"111",10,1,2,6.1779441140506,"decane",0,1,0,0,0,0,1,0,1,-6.30639566394833
"112",4,2,1,4.38202663467388,"toluene",0,0,1,0,0,0,2,0,0,-1.16864227534699
"113",7,1,2,5.07517381523383,"decane",0,0,0,0,0,0,1,0,1,-4.65794490990864
"114",5,1,1,3.04452243772342,"toluene",0,1,1,0,0,0,0,1,0,0.571803824200876
"115",10,2,2,6.45362499889269,"apin",0,1,1,0,0,0,1,0,1,-7.09745891754888
"116",6,2,3,5.99396142730657,"toluene",0,1,0,1,0,1,2,0,1,-7.29435166454739
"117",6,1,3,4.83628190695148,"toluene",0,1,0,1,0,1,0,1,0,-7.39453035403234
"118",6,1,3,6.14203740558736,"toluene",0,1,0,1,2,0,0,0,1,-4.46772225061493
"119",6,2,1,5.65248918026865,"toluene",0,0,1,1,0,0,2,0,0,-5.33739778869769
"120",6,0,3,5.85793315448346,"toluene",0,0,1,1,0,1,0,0,2,-9.1352460258783
"121",10,2,1,5.7268477475872,"decane",0,1,0,0,0,0,2,0,0,-6.22471031038005
"122",5,1,1,5.34710753071747,"toluene",0,0,2,0,0,0,1,0,1,-3.55177908445545
"123",7,1,3,5.31320597904179,"toluene",0,1,0,1,2,0,0,0,1,-6.86558243522565
"124",7,1,3,4.64439089914137,"toluene",0,0,0,1,0,0,1,0,2,-11.2458123842061
"125",7,1,2,5.41610040220442,"toluene",1,0,1,0,1,0,0,1,2,-3.38142159817737
"126",7,2,2,5.85793315448346,"toluene",0,2,2,0,0,0,1,0,0,2.02532436458548
"127",6,1,1,3.13549421592915,"toluene",0,1,1,0,0,0,1,0,0,-2.70021827880638
"128",7,2,4,6.22851100359118,"toluene",0,3,0,1,0,1,1,1,0,-10.430261369612
"129",6,1,3,6.19440539110467,"toluene",0,0,0,2,1,0,0,1,1,-8.2643579851095
"130",7,1,2,5.10594547390058,"toluene",0,1,1,0,0,1,0,0,0,-4.81800230120763
"131",6,1,2,4.77068462446567,"toluene",0,0,0,0,0,0,1,0,2,-4.68398614954475
"132",6,1,2,3.85014760171006,"toluene",0,0,0,1,0,0,0,0,1,-2.40420901360256
"133",7,2,1,4.84418708645859,"toluene",0,0,0,1,0,0,1,0,0,-2.86207096809823
"134",7,0,3,5.35658627467201,"toluene",0,1,2,0,0,1,0,0,1,-10.2969749689429
"135",7,2,3,5.24174701505964,"toluene",0,2,0,1,0,0,1,0,0,-5.87102995608803
"136",6,0,2,3.17805383034795,"toluene",1,0,0,1,0,1,0,0,1,-3.09946586599234
"137",9,1,1,4.64439089914137,"apin",0,0,0,0,0,0,1,0,1,-5.36651235269349
"138",10,1,0,4.14313472639153,"decane",0,0,0,0,0,0,1,0,0,-2.97170133704616
"139",7,1,3,5.45958551414416,"toluene",1,0,0,1,0,1,0,0,1,-5.92010653926056
"140",5,1,2,5.17614973257383,"toluene",0,1,1,0,0,0,0,1,1,-3.36108602225142
"141",5,1,2,5.04985600724954,"toluene",0,0,1,0,0,0,0,1,2,-2.87049795419666
"142",7,2,1,4.62497281328427,"toluene",0,0,1,1,0,1,2,0,0,-4.05571575420811
"143",6,2,0,3.97029191355212,"toluene",0,0,1,0,0,0,0,0,0,1.01667455062803
"144",7,1,3,6.53524127101366,"toluene",0,1,2,0,1,0,1,0,2,-8.8463383815981
"145",7,0,3,4.91998092582813,"toluene",1,1,1,1,0,0,0,0,1,-9.10237150894891
"146",6,0,2,4.88280192258637,"toluene",0,0,2,0,0,1,0,0,2,-5.35241993969704
"147",7,1,4,4.61512051684126,"toluene",0,2,0,0,0,0,1,0,1,-12.3038962383146
"148",7,1,1,3.13549421592915,"toluene",1,0,1,1,0,0,1,0,0,-5.32400506982446
"149",5,0,2,3.40119738166216,"toluene",0,1,1,0,0,0,0,0,0,-4.26584543714525
"150",6,0,5,6.50428817353665,"toluene",0,1,0,1,0,1,0,0,3,-13.6066796827383
"151",9,2,2,5.74620319054015,"apin",0,0,0,1,0,0,2,0,1,-6.72992207499933
"152",6,0,2,4.71849887129509,"toluene",0,0,1,2,0,0,0,0,0,-7.52975631466303
"153",10,2,1,5.97380961186926,"decane",0,0,0,0,0,0,2,0,1,-8.11543405465292
"154",6,1,2,3.17805383034795,"toluene",0,1,0,0,0,0,0,1,0,-3.69266717069369
"155",7,1,1,5.38449506278909,"toluene",0,0,3,0,0,0,1,0,1,-2.09971957982661
"156",4,1,3,3.91202300542815,"toluene",0,1,0,2,0,0,0,0,0,-4.24921791144782
"157",7,1,2,3.66356164612965,"",0,1,0,0,0,0,1,0,1,-6.2558321487343
"158",7,1,3,5.3890717298165,"toluene",0,3,2,0,0,0,1,0,0,-5.81710995463693
"159",7,2,2,5.17048399503815,"toluene",1,0,0,1,0,1,1,1,1,-8.90319366107074
"160",7,1,4,4.96284463025991,"toluene",0,3,1,0,0,0,0,1,0,-10.873081214796
"161",8,2,1,4.69134788222914,"apin",0,0,1,0,0,0,2,0,1,-3.26346893154927
"162",7,1,2,6.16120732169508,"toluene",1,1,1,0,1,0,0,0,1,-5.86319051501461
"163",7,2,2,5.37989735354046,"toluene",0,2,2,0,0,0,1,1,0,-2.17949384428986
"164",7,1,1,3.46573590279973,"toluene",1,0,0,1,0,0,1,0,0,-5.64324173855081
"165",6,0,5,5.28320372873799,"toluene",0,2,0,0,0,1,0,0,3,-9.39468378996607
"166",5,0,2,3.04452243772342,"toluene",0,1,0,1,0,0,0,0,0,-5.12252930354999
"167",5,0,3,4.12713438504509,"toluene",0,2,1,0,0,1,0,0,1,-4.84217424296462
"168",8,1,2,6.27476202124194,"decane",0,2,0,0,0,0,1,0,0,-9.48948429626831
"169",6,1,3,5.7268477475872,"toluene",0,2,0,0,0,0,0,0,1,-4.87072234000585
"170",7,0,1,3.2188758248682,"toluene",1,0,2,0,2,0,0,0,1,-2.91406767866521
"171",8,0,3,4.56434819146784,"apin",0,1,0,0,0,0,0,0,0,-2.28861606237267
"172",6,1,2,5.5683445037611,"decane",0,0,0,1,0,0,1,0,1,-5.00031103267127
"173",6,1,2,4.8283137373023,"toluene",0,0,1,1,0,1,0,0,1,-4.86502140688575
"174",6,1,2,3.66356164612965,"toluene",0,1,1,0,0,1,1,0,0,-4.99288496193396
"175",10,2,2,6.59714570188665,"apin",0,1,0,0,0,0,1,0,1,-6.54349588841592
"176",6,1,3,5.36129216570943,"toluene",0,2,1,0,0,1,0,1,1,-5.56163964118496
"177",7,1,2,5.63835466933375,"decane",0,1,1,0,0,0,1,0,1,-5.41604558653694
"178",8,2,1,4.969813299576,"decane",0,1,0,0,0,0,1,0,0,-4.56339436858958
"179",6,0,2,3.78418963391826,"toluene",0,1,1,0,0,1,0,0,1,-3.82115087617763
"180",6,0,3,3.89182029811063,"toluene",1,0,0,1,0,1,0,0,1,-4.8965581399258
"181",6,1,2,5.37063802812766,"toluene",0,0,0,1,0,1,1,0,1,-4.22540851100187
"182",6,2,1,4.51085950651685,"toluene",0,1,1,0,0,0,0,1,0,-1.09284767360739
"183",7,2,0,3.97029191355212,"apin",0,0,0,0,0,0,2,0,0,-1.48390356708701
"184",7,0,4,5.29330482472449,"toluene",0,1,0,1,0,0,0,0,2,-11.106452620786
"185",4,0,2,3.46573590279973,"toluene",0,1,1,0,0,0,0,0,1,-1.04080367123699
"186",6,1,1,5.04985600724954,"toluene",0,0,1,0,0,0,0,1,1,-2.44496040063864
"187",7,0,3,5.01727983681492,"apin",0,2,1,0,0,0,0,0,0,-5.55399032236232
"188",8,0,2,4.44265125649032,"apin",0,0,0,0,0,0,0,0,1,-3.38687386495271
"189",7,1,1,4.92725368515721,"apin",0,0,0,0,0,0,1,0,1,-2.87409428593776
"190",7,1,1,4.62497281328427,"toluene",0,0,0,0,2,0,0,0,1,-0.573138004737733
"191",7,0,3,4.81218435537242,"",0,1,0,1,0,0,0,0,0,-7.30867714222657
"192",9,1,1,5.01063529409626,"apin",0,0,2,0,0,0,1,0,1,-5.96012991595849
"193",9,0,3,5.99396142730657,"apin",0,0,0,0,0,0,0,0,2,-10.0955040171912
"194",7,1,3,1.94591014905531,"toluene",1,2,0,1,0,0,0,1,0,-7.34780727144373
"195",6,1,3,5.98645200528444,"toluene",0,0,0,1,0,0,1,0,1,-6.48152286806713
"196",10,1,2,5.45958551414416,"apin",0,1,2,0,0,0,1,0,0,-7.35388976767625
"197",8,2,2,4.94875989037817,"apin",0,0,0,1,0,0,2,0,1,-4.87406947401066
"198",7,1,3,6.5424719605068,"toluene",0,2,1,0,0,0,0,0,1,-5.92590238330587
"199",7,0,3,4.43081679884331,"toluene",1,0,0,1,0,1,0,0,1,-10.2377933422704
"200",7,2,2,5.26269018890489,"apin",0,1,0,0,0,0,1,0,0,-3.84189259109769
"201",8,2,2,6.05443934626937,"apin",0,0,0,1,0,0,1,0,1,-7.1533706806671
"202",9,1,2,5.75890177387728,"apin",0,2,2,0,0,0,1,0,0,-9.26094996156649
"203",5,1,3,4.17438726989564,"toluene",0,3,0,0,0,0,0,1,0,-3.80093697461034
"204",7,0,4,0,"apin",0,0,0,1,0,0,0,0,3,-6.47065145298846
"205",6,1,2,4.60517018598809,"toluene",0,1,1,1,0,1,1,0,0,-5.41278117556235
"206",5,0,3,5.32787616878958,"toluene",0,1,1,0,0,0,0,0,2,-6.25297700689907
"207",5,1,1,3.25809653802148,"toluene",0,0,0,0,0,0,0,1,1,0.486213687181718
"208",7,1,3,5.65248918026865,"toluene",1,0,0,2,0,1,0,1,1,-10.8540860197109
"209",6,1,2,3.43398720448515,"toluene",0,1,0,1,0,0,0,0,0,-3.06246813591247
"210",7,1,1,3.95124371858143,"apin",0,0,0,0,0,0,0,0,1,1.52849394309493
"211",6,1,2,4.15888308335967,"toluene",0,0,0,0,0,1,1,0,1,-4.24705097903293
"212",7,1,4,6.71417052990947,"toluene",0,1,2,0,0,1,1,0,3,-12.375184898329
"213",10,1,2,3.63758615972639,"apin",0,1,0,1,0,0,1,0,0,-5.31125960148194
"214",10,2,1,5.66296048013595,"decane",0,1,0,0,0,0,1,0,0,-5.05122641800607
"215",9,2,1,4.969813299576,"decane",0,1,0,0,0,0,2,0,0,-4.05197243011458
"216",7,0,3,4.47733681447821,"toluene",0,2,2,0,0,1,0,0,0,-10.6017374431525
"217",9,1,2,4.07753744390572,"apin",0,0,0,1,0,0,0,0,1,-5.54780107949338
"218",4,0,3,4.11087386417331,"toluene",0,2,0,0,0,0,0,0,1,-4.09652141799063
"219",7,1,4,5.4249500174814,"toluene",0,2,1,0,0,0,0,1,1,-12.7392118774793
"220",7,0,3,5.93224518744801,"toluene",0,1,1,1,0,0,0,0,1,-8.73156408355274
"221",6,1,3,4.62497281328427,"toluene",0,2,1,0,0,0,0,0,0,-7.2390560940389
"222",10,2,2,5.9427993751267,"decane",0,0,0,1,0,0,2,0,1,-9.53250315602767
"223",7,2,2,5.71702770140622,"apin",0,0,1,0,0,0,2,0,1,-4.72531860416248
"224",10,1,3,6.51471269087253,"apin",0,2,0,0,0,0,0,0,1,-6.51243665990367
"225",6,1,3,4.57471097850338,"toluene",0,3,0,0,0,1,0,0,0,-5.11549540675635
"226",5,1,1,4.34380542185368,"apin",0,0,1,0,0,0,1,0,1,-1.37456352214757
"227",6,2,2,6.39859493453521,"toluene",0,0,0,0,0,0,1,0,1,-6.10885612060768
"228",6,0,3,5.73334127689775,"toluene",1,0,1,1,1,0,0,0,2,-12.8173616462051
"229",7,2,2,4.56434819146784,"toluene",0,1,0,0,0,0,1,0,0,-4.44045012207217
"230",9,2,1,4.33073334028633,"apin",0,0,0,0,0,0,2,0,1,-5.09130060271824
"231",10,0,2,5.69035945432406,"decane",0,1,0,0,0,0,0,0,1,-5.19739587214474
"232",6,2,2,5.39362754635236,"toluene",0,0,0,1,0,1,1,0,1,-3.28236698757859
"233",6,1,5,4.29045944114839,"toluene",0,3,0,0,0,0,1,0,2,-15.9166936028307
"234",10,2,0,3.85014760171006,"decane",0,0,0,0,0,0,2,0,0,-1.81697571404831
"235",4,1,4,5.48893772615669,"toluene",0,1,0,2,0,0,0,1,1,-7.52974988915632
"236",4,1,1,3.91202300542815,"toluene",0,0,1,1,0,0,1,0,0,-0.857626984134641
"237",7,1,2,5.84932477994686,"apin",0,0,1,0,0,0,1,0,2,-4.93679331227342
"238",7,2,2,6.21860011969173,"toluene",0,1,0,1,0,0,1,0,0,-3.95210792502009
"239",6,1,5,4.71849887129509,"toluene",0,4,0,0,0,0,1,0,1,-8.35445314739582
"240",6,1,4,6.73578001424233,"toluene",0,1,0,2,1,0,1,0,1,-10.18873768522
"241",7,1,2,5.51745289646471,"toluene",0,0,1,2,0,0,1,0,0,-8.05209707183866
"242",7,2,1,5.84354441703136,"toluene",0,1,2,0,0,0,1,0,0,-3.2025728192605
"243",7,0,2,4.55387689160054,"apin",0,0,0,0,0,0,0,0,2,-3.53380335046262
"244",6,1,3,5.55682806169954,"toluene",0,2,1,0,0,0,0,0,1,-5.4275304463626
"245",8,0,2,5.37527840768417,"apin",0,0,2,0,0,0,0,0,2,-6.34498887953164
"246",10,1,2,6.46614472423762,"decane",0,0,0,0,0,0,1,0,2,-9.61178942349429
"247",7,1,2,5.33753807970132,"toluene",1,0,0,1,0,0,1,0,1,-7.47785577658059
"248",7,1,5,6.40025744530882,"toluene",0,3,0,1,0,1,0,1,1,-14.0036501023815
"249",6,1,2,5.54907608489522,"toluene",0,1,0,0,1,0,0,0,1,-3.13168919605424
"250",6,1,1,2.77258872223978,"toluene",1,0,0,0,0,0,1,0,1,-1.68181256436388
"251",10,2,1,5.74300318780948,"decane",0,1,0,0,0,0,2,0,0,-8.57892544447313
"252",10,0,3,6.91274282049318,"decane",0,2,0,0,0,0,0,0,1,-11.8854630022671
"253",6,1,4,5.78996017089725,"toluene",0,1,0,1,0,1,1,0,1,-9.81477230848676
"254",7,1,1,2.56494935746154,"toluene",0,1,0,0,0,0,0,1,0,-4.28017838706018
"255",7,0,3,5.79301360838414,"apin",0,1,2,1,0,0,0,0,1,-8.50894382296674
"256",6,0,2,3.25809653802148,"toluene",0,0,1,1,0,1,0,0,1,-3.73709713679468
"257",6,1,1,5.08759633523238,"toluene",0,0,2,1,0,0,1,0,0,-4.21975500917219
"258",6,1,1,3.89182029811063,"toluene",1,0,1,0,1,0,1,0,0,-2.758964060592
"259",5,1,0,2.94443897916644,"toluene",0,0,1,0,1,0,1,0,0,1.84933914769397
"260",6,1,2,3.63758615972639,"toluene",0,1,0,0,0,0,1,0,0,-6.44067781868911
"261",7,1,1,4.82028156560504,"toluene",0,0,1,0,0,0,0,0,1,-3.74889686652597
"262",7,1,2,5.18178355029209,"toluene",0,1,1,1,0,1,0,1,0,-5.5706887613763
"263",7,1,3,5.75574221358691,"toluene",0,0,0,0,0,1,1,0,1,-7.98719346979902
"264",7,2,2,6.04737217904628,"toluene",0,0,1,0,0,1,2,0,1,-6.27995501791702
"265",7,2,2,5.81413053182507,"decane",0,1,0,0,0,0,2,0,1,-5.60861557596988
"266",7,0,4,3.80666248977032,"toluene",1,2,0,0,0,0,0,0,1,-8.87672621360605
"267",6,1,5,6.64768837356333,"toluene",0,2,0,1,0,0,0,1,2,-12.0582756258268
"268",10,0,3,7.04053639021596,"apin",0,1,1,0,0,0,0,0,2,-11.8326888800915
"269",6,1,2,4.89783979995091,"toluene",0,0,0,1,0,0,0,1,1,-2.34944716947682
"270",5,1,3,5.30330490805908,"toluene",0,1,0,0,0,1,1,0,1,-2.60076734121106
"271",6,2,4,5.35658627467201,"toluene",0,3,2,0,0,0,0,2,1,-7.95474649698118
"272",7,2,2,5.35658627467201,"toluene",0,0,0,1,0,1,1,0,1,-4.09873409995031
"273",7,1,3,7.01571242048723,"apin",0,0,1,1,0,0,1,0,2,-10.276281675056
"274",4,1,0,1.09861228866811,"decane",0,0,0,0,0,0,0,0,0,4.77909338636616
"275",7,1,2,3.97029191355212,"apin",0,0,1,0,0,0,1,0,2,-4.83975870334153
"276",8,0,2,5.76205138278018,"decane",0,0,0,0,0,0,0,0,2,-6.39725080935454
"277",8,2,2,6.04973345523196,"apin",0,0,1,0,0,0,2,0,2,-5.94497843031387
"278",7,1,3,5.78996017089725,"toluene",0,1,1,1,1,0,0,1,1,-8.32660866386694
"279",6,2,1,5.50938833662798,"toluene",0,0,1,1,0,0,2,0,0,-2.21525337707113
"280",7,1,3,5.84354441703136,"toluene",0,1,1,0,0,0,1,0,1,-8.34375369775813
"281",7,1,2,4.96284463025991,"apin",0,1,0,0,0,0,0,0,0,-1.79458423640498
"282",6,0,4,6.04500531403601,"apin",0,2,0,0,0,0,0,0,1,-8.78716121127684
"283",4,0,3,3.46573590279973,"toluene",1,1,0,1,0,0,0,0,1,-7.65772190268717
