"ID","log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","parentspecies","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
18,-12.6803562033096,242.02739652,26,6,10,0,4,983,40,"toluene",0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0
19,-3.40319488625915,208.021917216,22,6,8,0,3,184,10,"toluene",0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
23,-3.0158785984304,302.02337376,30,6,12,2,2,361,40,"apin",0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
26,-6.72371821955284,283.017560108,28,7,11,1,2,550,40,"toluene",0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0
27,-10.064061929368,280.079432092,35,10,9,0,3,882,40,"apin",0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0
30,-5.2278665853834,313.986988252,27,6,13,2,2,117,26,"toluene",0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
31,-2.65126309911125,329.981902872,28,6,14,2,2,314,40,"toluene",0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
32,-8.72307851488323,309.06959568,36,10,10,1,2,344,4,"apin",0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
34,-8.54202748962649,338.059759268,37,10,11,2,1,388,40,"decane",0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
35,-4.53959422059517,238.99134536,21,5,10,1,3,183,12,"toluene",0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0
36,-5.80323902052838,291.059030996,33,10,9,1,1,301,40,"apin",0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0
37,-2.07421904231369,265.006995424,25,7,10,1,1,39,28,"toluene",1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
38,-8.07627056609348,283.017560108,28,7,11,1,3,133,15,"toluene",0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
39,-9.47640198308391,226.0324819,25,6,9,0,4,489,17,"toluene",0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0
40,-5.98148154342996,150.016437912,16,4,6,0,3,56,1,"toluene",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
41,-8.91081322375644,225.996096392,21,5,10,0,4,294,8,"toluene",0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
44,-12.6926315040501,343.997552936,31,7,14,2,4,120,1,"toluene",0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0
45,-5.12857622493347,265.006995424,25,7,10,1,2,289,4,"",0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0
46,-12.9392662710149,283.017560108,28,7,11,1,4,513,33,"toluene",0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0
47,-1.26302454958015,220.980780676,18,5,9,1,1,27,14,"toluene",0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0
48,-3.90498212936289,277.07976644,34,10,8,1,1,161,40,"apin",0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0
49,-7.31897824272142,298.97608922,25,6,13,1,3,164,26,"toluene",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
50,-8.01687490353119,299.048860236,33,8,11,1,3,682,22,"apin",0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0
51,-0.170622397204041,324.044109204,34,9,11,2,1,253,40,"apin",0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
52,-8.40872139548811,239.027730868,25,6,9,1,3,601,40,"apin",0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
53,-3.25966874717706,186.016437912,19,7,6,0,1,64,38,"toluene",0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
54,-4.26087805303162,192.027002596,21,6,7,0,3,114,17,"toluene",0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
56,-9.79343231976018,287.012474728,28,6,12,1,4,620,40,"toluene",0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0
57,-13.9990013615977,328.002638316,30,7,13,2,4,433,1,"toluene",0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0
59,-7.27301324027142,279.095416504,36,10,8,1,2,420,40,"decane",0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
60,-11.111082070696,252.011746456,25,7,10,0,5,65,2,"toluene",0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0
61,-5.84749693155327,324.080494712,38,10,10,2,1,316,40,"decane",0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0
62,-4.21432014528843,327.966252808,26,6,14,2,2,264,40,"toluene",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0
64,-7.93561326322027,287.012474728,28,6,12,1,4,443,23,"toluene",0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0
65,-7.2374126376601,356.033938444,36,9,13,2,2,549,40,"apin",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
67,-2.141600650354,267.981508948,22,5,11,2,1,92,40,"toluene",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
68,-5.13958250770782,278.98625998,24,7,11,1,1,306,40,"toluene",0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0
69,-6.05219888380601,266.98625998,23,6,11,1,3,205,18,"toluene",0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0
70,-1.7027230782734,220.980780676,18,5,9,1,1,47,20,"toluene",0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0
72,-10.2311431535145,285.033210172,30,7,11,1,4,69,19,"toluene",0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0
73,-2.93218292122785,262.99134536,23,7,10,1,1,65,38,"toluene",1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
74,-6.37347599984795,251.027730868,26,7,9,1,3,325,40,"toluene",0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0
75,-4.48842163263622,255.022645488,26,6,10,1,3,243,16,"toluene",0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
76,-4.06207220539066,250.99134536,22,6,10,1,2,121,40,"toluene",0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0
77,-7.80388115576772,266.98625998,23,6,11,1,2,352,40,"toluene",0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0
79,-6.08992468039245,247.069201756,30,9,7,1,1,69,40,"apin",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
80,-2.99020086165832,200.104858992,30,10,4,0,1,120,40,"decane",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
81,-4.54188195266223,205.022251564,21,6,7,1,2,42,14,"toluene",0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
82,-7.35426536921855,166.011352532,17,4,7,0,4,94,6,"toluene",0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0
85,-0.475397805939765,281.997159012,25,6,11,2,1,32,10,"toluene",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0
87,-11.5469603342158,175.995702468,16,5,7,0,2,22,5,"toluene",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
90,-5.37337325357575,188.032087976,21,7,6,0,1,14,3,"toluene",0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
92,-6.33031094067574,310.97608922,26,7,13,1,2,264,40,"toluene",1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
94,-3.45528544670782,312.991739284,28,7,13,1,2,191,14,"toluene",0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0
95,-5.22036111835464,344.033938444,35,8,13,2,2,444,40,"apin",0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
96,-7.09851276533325,278.98625998,24,7,11,1,2,87,40,"toluene",1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
97,-2.51057309785652,296.049194584,32,8,10,2,1,96,40,"apin",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
98,-9.60837187731178,269.001910044,25,6,11,1,5,99,26,"toluene",1,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0
99,-3.93792558639828,281.001910044,26,7,11,1,1,118,39,"toluene",0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0
100,-6.61338707853776,293.038295552,31,9,10,1,1,344,40,"decane",0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0
101,1.35399677815657,191.0066015,18,5,7,1,1,8,8,"toluene",0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
102,-7.74374654153443,265.07976644,33,9,8,1,2,403,40,"apin",0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
103,-4.01241875427554,310.97608922,26,7,13,1,1,78,31,"toluene",0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0
104,-8.71588280410761,252.011746456,25,7,10,0,4,214,5,"toluene",0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0
105,-4.69433636896144,313.986988252,27,6,13,2,2,209,40,"toluene",0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0
106,-6.55666969690614,278.98625998,24,7,11,1,2,107,10,"toluene",1,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0
112,-7.73078566526732,310.97608922,26,7,13,1,3,281,8,"toluene",0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0
116,-7.14851355472904,249.08485182,32,9,7,1,2,85,17,"apin",0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
117,-3.17640498852259,248.975695296,20,6,10,1,1,55,40,"toluene",0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0
118,-7.8934332618433,328.002638316,30,7,13,2,3,160,8,"toluene",0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
119,-9.66225215770066,206.04265266,24,7,7,0,3,29,6,"toluene",0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0
121,-5.17324271228805,206.006267152,20,6,8,0,3,166,14,"toluene",0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
122,2.96762194435242,160.996036816,14,4,6,1,0,4,4,"toluene",0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
123,-4.57005854011474,253.043380932,28,7,9,1,3,589,10,"apin",0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0
124,-1.24620349251163,234.99643074,21,6,9,1,1,38,36,"toluene",0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
125,-4.23671868171684,194.006267152,19,5,8,0,3,336,27,"toluene",0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0
126,-1.48304339058158,252.970609916,20,5,11,1,1,17,7,"toluene",0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
127,-2.39276808260558,282.9811746,24,6,12,1,2,204,40,"toluene",0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0
129,-0.336062292438929,240.970609916,19,4,11,1,2,110,32,"toluene",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
130,-6.39300500561734,312.007723696,29,7,12,2,2,407,40,"toluene",0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0
131,-2.6466622898057,217.022251564,22,7,7,1,2,17,6,"toluene",1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
132,-2.1838035962646,341.981902872,29,7,14,2,1,48,23,"toluene",0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
133,-3.16017759152976,280.054279964,31,8,9,2,1,152,40,"apin",0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
135,-1.85755960298102,174.089208928,26,8,4,0,1,33,24,"apin",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
137,-7.78089822828249,328.002638316,30,7,13,2,4,810,31,"toluene",0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0
138,-6.40204433116504,361.971732112,30,6,16,2,3,469,40,"toluene",0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
139,-6.42236323475277,343.997552936,31,7,14,2,4,410,27,"toluene",0,0,3,1,1,0,0,0,0,1,0,1,0,1,0,0
140,-3.84999662162563,226.99134536,20,4,10,1,2,216,40,"toluene",0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
141,-2.29750597329496,312.007723696,29,7,12,2,1,131,40,"apin",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
142,-11.3401264694707,234.073952788,30,9,7,0,3,430,14,"decane",0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
143,-2.34541183442246,218.006267152,21,7,8,0,2,1,1,"toluene",0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0
144,-3.55991370748701,292.090665472,36,10,8,2,1,59,31,"apin",0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
145,-1.74142113806759,361.971732112,30,6,16,2,2,302,40,"toluene",0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
146,-7.16119591227926,186.016437912,19,7,6,0,2,35,22,"toluene",1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
148,-5.79393383138609,249.012080804,24,7,9,1,2,42,16,"toluene",1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
149,-11.7038239515402,309.06959568,36,10,10,1,3,931,40,"apin",0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0
151,-6.84793023695356,236.016831836,24,7,9,0,3,348,32,"toluene",0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
152,-12.9865310313662,315.007389348,30,7,13,1,4,750,7,"toluene",0,0,2,2,0,0,0,0,1,0,0,0,1,2,0,0
153,-6.30639566394833,279.095416504,36,10,8,1,2,482,40,"decane",0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
154,-1.16864227534699,271.976423568,22,4,12,2,1,80,32,"toluene",0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
157,-4.65794490990864,253.043380932,28,7,9,1,2,160,10,"decane",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
159,0.571803824200876,220.980780676,18,5,9,1,1,21,12,"toluene",0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0
160,-7.09745891754888,370.049588508,39,10,13,2,2,635,40,"apin",0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
161,-7.29435166454739,300.007723696,28,6,12,2,3,401,40,"toluene",0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0
162,-7.39453035403234,237.012080804,23,6,9,1,3,126,2,"toluene",0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
163,-4.46772225061493,298.97608922,25,6,13,1,3,465,12,"toluene",0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
165,-5.33739778869769,297.992073632,26,6,12,2,1,285,40,"toluene",0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0
168,-9.1352460258783,222.001181772,21,6,9,0,3,350,40,"toluene",0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0
170,-6.22471031038005,322.064844648,36,10,10,2,1,307,40,"decane",0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0
171,-3.55177908445545,225.012080804,22,5,9,1,1,210,40,"toluene",0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0
172,-6.86558243522565,312.991739284,28,7,13,1,3,203,36,"toluene",0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
173,-11.2458123842061,296.996824664,27,7,12,1,3,104,5,"toluene",0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0
175,-3.38142159817737,265.006995424,25,7,10,1,2,225,40,"toluene",1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0
176,2.02532436458548,341.981902872,29,7,14,2,2,350,28,"toluene",0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0
177,-2.70021827880638,234.99643074,21,6,9,1,1,23,8,"toluene",0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
178,-10.430261369612,312.007723696,29,7,12,2,4,507,40,"toluene",0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0
179,-8.2643579851095,266.98625998,23,6,11,1,3,490,40,"toluene",0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0
180,-4.81800230120763,294.9811746,25,7,12,1,2,165,20,"toluene",0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
182,-4.68398614954475,269.001910044,25,6,11,1,2,118,40,"toluene",0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0
186,-2.40420901360256,296.960439156,23,6,13,1,2,47,4,"toluene",0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0
187,-2.86207096809823,341.981902872,29,7,14,2,1,127,40,"toluene",0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0
188,-10.2969749689429,236.016831836,24,7,9,0,3,212,14,"toluene",0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0
190,-5.87102995608803,357.976817492,30,7,15,2,3,189,40,"toluene",0,0,2,0,1,1,0,0,1,0,0,1,1,0,0,0
191,-3.09946586599234,160.037173356,19,6,5,0,2,24,12,"toluene",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
193,-5.36651235269349,265.07976644,33,9,8,1,1,104,40,"apin",0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
194,-2.97170133704616,259.069201756,31,10,7,1,0,63,40,"decane",0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
196,-5.92010653926056,310.97608922,26,7,13,1,3,235,32,"toluene",1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
197,-3.36108602225142,238.99134536,21,5,10,1,2,177,25,"toluene",0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0
198,-2.87049795419666,225.012080804,22,5,9,1,2,156,34,"toluene",0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1
199,-4.05571575420811,280.017894456,27,7,10,2,1,102,40,"toluene",0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
200,1.01667455062803,341.945517364,25,6,15,2,0,53,40,"toluene",0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0
201,-8.8463383815981,299.012474728,29,7,12,1,3,689,40,"toluene",0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0
202,-9.10237150894891,204.027002596,22,7,7,0,3,137,3,"toluene",1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
203,-5.35241993969704,206.006267152,20,6,8,0,2,132,40,"toluene",0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0
204,-12.3038962383146,299.012474728,29,7,12,1,4,101,10,"toluene",0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0
205,-5.32400506982446,246.99643074,22,7,9,1,1,23,11,"toluene",1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
207,-4.26584543714525,191.990617088,17,5,8,0,2,30,16,"toluene",0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
210,-13.6066796827383,242.02739652,26,6,10,0,5,668,40,"toluene",0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0
211,-6.72992207499933,342.054673888,37,9,12,2,2,313,40,"apin",0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0
212,-7.52975631466303,219.985531708,19,6,9,0,2,112,21,"toluene",0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
213,-8.11543405465292,338.059759268,37,10,11,2,1,393,40,"decane",0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
214,-3.69266717069369,264.970609916,21,6,11,1,2,24,9,"toluene",0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0
215,-2.09971957982661,262.99134536,23,7,10,1,1,218,40,"toluene",0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0
216,-4.24921791144782,224.975695296,18,4,10,1,3,50,3,"toluene",0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
218,-6.2558321487343,265.006995424,25,7,10,1,2,39,17,"",0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0
220,-5.81710995463693,267.022645488,27,7,10,1,3,219,6,"toluene",0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0
222,-8.90319366107074,293.997159012,26,7,11,2,2,176,40,"toluene",1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
224,-10.873081214796,283.017560108,28,7,11,1,4,143,1,"toluene",0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0
225,-3.26346893154927,282.069930028,33,8,9,2,1,109,40,"apin",0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
226,-5.86319051501461,281.001910044,26,7,11,1,2,474,40,"toluene",1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
228,-2.17949384428986,296.012809076,28,7,11,2,2,217,24,"toluene",0,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0
230,-5.64324173855081,246.99643074,22,7,9,1,1,32,17,"toluene",1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
231,-9.39468378996607,240.011746456,24,6,10,0,5,197,9,"toluene",0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0
232,-5.12252930354999,175.995702468,16,5,7,0,2,21,7,"toluene",0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0
233,-4.84217424296462,178.011352532,18,5,7,0,3,62,10,"toluene",0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0
234,-9.48948429626831,235.069201756,29,8,7,1,2,531,40,"decane",0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
237,-4.87072234000585,269.001910044,25,6,11,1,3,307,7,"toluene",0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0
238,-2.91406767866521,215.990617088,19,7,8,0,1,25,12,"toluene",1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0
239,-2.28861606237267,222.073952788,29,8,7,0,3,96,12,"apin",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
240,-5.00031103267127,209.053551692,25,6,7,1,2,262,40,"decane",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
241,-4.86502140688575,266.98625998,23,6,11,1,2,125,28,"toluene",0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
242,-4.99288496193396,250.99134536,22,6,10,1,2,39,3,"toluene",0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0
244,-6.54349588841592,370.049588508,39,10,13,2,2,733,40,"apin",0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0
245,-5.56163964118496,237.012080804,23,6,9,1,3,213,10,"toluene",0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0
246,-5.41604558653694,223.069201756,28,7,7,1,2,281,40,"decane",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
247,-4.56339436858958,310.02845914,31,8,11,2,1,144,40,"decane",0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
248,-3.82115087617763,176.032087976,20,6,6,0,2,44,13,"toluene",0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
249,-4.8965581399258,206.006267152,20,6,8,0,3,49,20,"toluene",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
250,-4.22540851100187,237.012080804,23,6,9,1,2,215,40,"toluene",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
252,-1.09284767360739,311.971338188,25,6,13,2,1,91,39,"toluene",0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0
253,-1.48390356708701,282.03354452,29,7,10,2,0,53,40,"apin",0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
254,-11.106452620786,254.02739652,27,7,10,0,4,199,8,"toluene",0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0
256,-1.04080367123699,150.016437912,16,4,6,0,2,32,27,"toluene",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
259,-2.44496040063864,250.99134536,22,6,10,1,1,156,40,"toluene",0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0
260,-5.55399032236232,206.04265266,24,7,7,0,3,151,26,"apin",0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0
261,-3.38687386495271,220.058302724,27,8,7,0,2,85,36,"apin",0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
263,-2.87409428593776,221.053551692,26,7,7,1,1,138,40,"apin",0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
264,-0.573138004737733,294.9811746,25,7,12,1,1,102,40,"toluene",0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0
266,-7.30867714222657,249.996096392,23,7,10,0,3,123,16,"",0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,0
267,-5.96012991595849,263.064116376,31,9,8,1,1,150,40,"apin",0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0
268,-10.0955040171912,252.084517472,33,9,8,0,3,401,2,"apin",0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0
269,-7.34780727144373,246.99643074,22,7,9,1,3,7,5,"toluene",1,2,2,0,1,1,0,0,0,1,0,0,1,0,0,0
270,-6.48152286806713,282.9811746,24,6,12,1,3,398,40,"toluene",0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0
271,-7.35388976767625,293.07468106,35,10,9,1,2,235,14,"apin",0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0
272,-4.87406947401066,296.049194584,32,8,10,2,2,141,40,"apin",0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
273,-5.92590238330587,283.017560108,28,7,11,1,3,694,19,"toluene",0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0
275,-10.2377933422704,220.021917216,23,7,8,0,3,84,6,"toluene",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
276,-3.84189259109769,314.02337376,31,7,12,2,2,193,26,"apin",0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
