"","ID","log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumHBondDonors","NumOfConf","parentspecies","hydroxyl..alkyl.","ketone","carboxylic.acid","carbonylperoxynitrate","hydroperoxide","carbonylperoxyacid"
"33",36,-5.80323902052838,291.059030996,33,10,9,1,301,"apin",0,2,0,0,1,0
"34",37,-2.07421904231369,265.006995424,25,7,10,1,39,"toluene",0,0,0,1,1,0
"35",38,-8.07627056609348,283.017560108,28,7,11,3,133,"toluene",1,1,1,0,1,0
"36",39,-9.47640198308391,226.0324819,25,6,9,4,489,"toluene",2,0,0,0,2,0
"37",40,-5.98148154342996,150.016437912,16,4,6,3,56,"toluene",1,0,1,0,1,0
"38",41,-8.91081322375644,225.996096392,21,5,10,4,294,"toluene",0,0,1,0,2,1
"39",42,-7.44515696355964,178.011352532,18,5,7,3,228,"toluene",1,2,1,0,1,0
"40",43,-3.66953799296303,357.976817492,30,7,15,2,257,"toluene",0,0,0,2,2,0
"41",44,-12.6926315040501,343.997552936,31,7,14,4,120,"toluene",3,0,0,0,0,1
"42",45,-5.12857622493347,265.006995424,25,7,10,2,289,"",2,2,0,1,0,0
"43",46,-12.9392662710149,283.017560108,28,7,11,4,513,"toluene",2,0,1,0,1,0
"44",47,-1.26302454958015,220.980780676,18,5,9,1,27,"toluene",0,1,1,0,0,0
"45",48,-3.90498212936289,277.07976644,34,10,8,1,161,"apin",0,1,0,0,1,0
"46",49,-7.31897824272142,298.97608922,25,6,13,3,164,"toluene",1,0,1,1,0,1
"47",50,-8.01687490353119,299.048860236,33,8,11,3,682,"apin",0,0,0,0,2,1
"48",51,-0.170622397204041,324.044109204,34,9,11,1,253,"apin",1,2,0,1,0,0
"49",52,-8.40872139548811,239.027730868,25,6,9,3,601,"apin",1,0,1,0,1,0
"50",53,-3.25966874717706,186.016437912,19,7,6,1,64,"toluene",1,2,0,0,0,0
"51",54,-4.26087805303162,192.027002596,21,6,7,3,114,"toluene",1,1,1,0,1,0
"52",55,-5.25461552074431,253.006995424,24,6,10,2,244,"toluene",0,0,0,0,2,0
"53",56,-9.79343231976018,287.012474728,28,6,12,4,620,"toluene",0,0,1,0,3,0
"54",57,-13.9990013615977,328.002638316,30,7,13,4,433,"toluene",3,0,1,0,0,0
"55",59,-7.27301324027142,279.095416504,36,10,8,2,420,"decane",1,2,0,0,1,0
"56",60,-11.111082070696,252.011746456,25,7,10,5,65,"toluene",3,1,1,0,1,0
"57",61,-5.84749693155327,324.080494712,38,10,10,1,316,"decane",0,2,0,0,1,0
"58",62,-4.21432014528843,327.966252808,26,6,14,2,264,"toluene",0,1,1,1,1,0
"59",63,-6.88682217129188,180.027002596,20,5,7,3,340,"toluene",1,0,0,0,2,0
"60",64,-7.93561326322027,287.012474728,28,6,12,4,443,"toluene",1,0,0,0,2,1
"61",65,-7.2374126376601,356.033938444,36,9,13,2,549,"apin",0,1,1,1,1,0
"62",66,-10.3024238063853,238.068867408,30,8,8,4,901,"apin",2,0,0,0,2,0
"63",67,-2.141600650354,267.981508948,22,5,11,1,92,"toluene",0,0,1,1,0,0
"64",68,-5.13958250770782,278.98625998,24,7,11,1,306,"toluene",0,1,1,0,0,0
"65",69,-6.05219888380601,266.98625998,23,6,11,3,205,"toluene",2,0,1,0,0,0
"66",70,-1.7027230782734,220.980780676,18,5,9,1,47,"toluene",0,2,1,0,0,0
"67",72,-10.2311431535145,285.033210172,30,7,11,4,69,"toluene",2,0,0,0,2,0
"68",73,-2.93218292122785,262.99134536,23,7,10,1,65,"toluene",0,0,0,1,0,1
"69",74,-6.37347599984795,251.027730868,26,7,9,3,325,"toluene",2,1,0,0,1,0
"70",75,-4.48842163263622,255.022645488,26,6,10,3,243,"toluene",1,0,0,0,1,1
"71",76,-4.06207220539066,250.99134536,22,6,10,2,121,"toluene",0,2,1,0,1,0
"72",77,-7.80388115576772,266.98625998,23,6,11,2,352,"toluene",0,0,2,0,0,0
"73",78,-1.78096692738384,269.001910044,25,6,11,2,192,"toluene",1,0,0,1,1,0
"74",79,-6.08992468039245,247.069201756,30,9,7,1,69,"apin",0,1,0,0,1,0
"75",80,-2.99020086165832,200.104858992,30,10,4,1,120,"decane",1,3,0,0,0,0
"76",81,-4.54188195266223,205.022251564,21,6,7,2,42,"toluene",0,0,2,0,0,0
"77",82,-7.35426536921855,166.011352532,17,4,7,4,94,"toluene",2,0,1,0,1,0
"78",83,-7.22398037361454,220.021917216,23,7,8,3,108,"toluene",3,0,0,0,0,0
"79",84,-5.30225453263646,263.027730868,27,8,9,1,178,"decane",0,2,1,1,0,0
"80",85,-0.475397805939765,281.997159012,25,6,11,1,32,"toluene",1,0,0,1,0,0
"81",87,-11.5469603342158,175.995702468,16,5,7,2,22,"toluene",0,0,0,0,1,1
"82",90,-5.37337325357575,188.032087976,21,7,6,1,14,"toluene",0,2,0,0,0,1
"83",91,-4.5637682533958,311.971338188,25,6,13,2,174,"toluene",0,1,1,1,1,0
"84",92,-6.33031094067574,310.97608922,26,7,13,2,264,"toluene",0,1,0,1,1,1
"85",93,-8.33918354452826,315.007389348,30,7,13,4,421,"toluene",1,0,0,0,2,1
"86",94,-3.45528544670782,312.991739284,28,7,13,2,191,"toluene",0,1,0,1,2,0
"87",95,-5.22036111835464,344.033938444,35,8,13,2,444,"apin",0,1,0,1,2,0
"88",96,-7.09851276533325,278.98625998,24,7,11,2,87,"toluene",0,1,1,1,1,0
"89",97,-2.51057309785652,296.049194584,32,8,10,1,96,"apin",0,0,1,1,0,0
"90",98,-9.60837187731178,269.001910044,25,6,11,5,99,"toluene",3,0,0,0,2,0
"91",99,-3.93792558639828,281.001910044,26,7,11,1,118,"toluene",1,2,0,1,0,0
"92",100,-6.61338707853776,293.038295552,31,9,10,1,344,"decane",0,2,0,1,1,0
"93",101,1.35399677815657,191.0066015,18,5,7,1,8,"toluene",0,1,0,0,1,0
"94",102,-7.74374654153443,265.07976644,33,9,8,2,403,"apin",1,1,0,0,1,0
"95",103,-4.01241875427554,310.97608922,26,7,13,1,78,"toluene",0,3,0,1,0,1
"96",104,-8.71588280410761,252.011746456,25,7,10,4,214,"toluene",2,0,1,0,0,1
"97",105,-4.69433636896144,313.986988252,27,6,13,2,209,"toluene",0,2,0,0,2,0
"98",106,-6.55666969690614,278.98625998,24,7,11,2,107,"toluene",0,0,0,0,1,1
"99",111,-8.62657730927888,328.002638316,30,7,13,3,66,"toluene",2,0,0,0,1,0
"100",112,-7.73078566526732,310.97608922,26,7,13,3,281,"toluene",1,0,1,0,0,1
"101",116,-7.14851355472904,249.08485182,32,9,7,2,85,"apin",1,1,0,0,1,0
"102",117,-3.17640498852259,248.975695296,20,6,10,1,55,"toluene",0,3,0,0,1,0
"103",118,-7.8934332618433,328.002638316,30,7,13,3,160,"toluene",1,1,1,0,1,0
"104",119,-9.66225215770066,206.04265266,24,7,7,3,29,"toluene",2,1,0,0,1,0
"105",121,-5.17324271228805,206.006267152,20,6,8,3,166,"toluene",1,1,1,0,1,0
"106",122,2.96762194435242,160.996036816,14,4,6,0,4,"toluene",0,1,0,0,0,0
"107",123,-4.57005854011474,253.043380932,28,7,9,3,589,"apin",2,2,0,0,1,0
"108",124,-1.24620349251163,234.99643074,21,6,9,1,38,"toluene",1,2,0,0,0,0
"109",125,-4.23671868171684,194.006267152,19,5,8,3,336,"toluene",1,1,0,0,2,0
"110",126,-1.48304339058158,252.970609916,20,5,11,1,17,"toluene",0,1,0,1,0,1
"111",127,-2.39276808260558,282.9811746,24,6,12,2,204,"toluene",1,0,0,1,1,0
"112",128,-6.64542126755091,299.012474728,29,7,12,3,344,"toluene",1,0,0,1,2,0
"113",129,-0.336062292438929,240.970609916,19,4,11,2,110,"toluene",0,1,0,1,1,1
"114",130,-6.39300500561734,312.007723696,29,7,12,2,407,"toluene",1,1,1,0,0,0
"115",131,-2.6466622898057,217.022251564,22,7,7,2,17,"toluene",1,1,1,0,0,0
"116",132,-2.1838035962646,341.981902872,29,7,14,1,48,"toluene",0,1,0,1,0,1
"117",133,-3.16017759152976,280.054279964,31,8,9,1,152,"apin",0,1,1,0,0,0
"118",134,-8.05838033614468,257.001910044,24,5,11,4,564,"toluene",1,0,1,0,1,1
"119",135,-1.85755960298102,174.089208928,26,8,4,1,33,"apin",0,1,0,0,1,0
"120",137,-7.78089822828249,328.002638316,30,7,13,4,810,"toluene",2,1,1,0,1,0
"121",138,-6.40204433116504,361.971732112,30,6,16,3,469,"toluene",1,0,0,1,1,1
"122",139,-6.42236323475277,343.997552936,31,7,14,4,410,"toluene",3,1,0,1,1,0
"123",140,-3.84999662162563,226.99134536,20,4,10,2,216,"toluene",0,0,1,0,1,0
"124",141,-2.29750597329496,312.007723696,29,7,12,1,131,"apin",1,0,0,2,0,0
"125",142,-11.3401264694707,234.073952788,30,9,7,3,430,"decane",2,2,0,0,0,1
"126",143,-2.34541183442246,218.006267152,21,7,8,2,1,"toluene",2,3,0,0,0,0
"127",144,-3.55991370748701,292.090665472,36,10,8,1,59,"apin",1,1,0,0,0,0
"128",145,-1.74142113806759,361.971732112,30,6,16,2,302,"toluene",1,1,0,2,1,0
"129",146,-7.16119591227926,186.016437912,19,7,6,2,35,"toluene",1,1,1,0,0,0
"130",148,-5.79393383138609,249.012080804,24,7,9,2,42,"toluene",0,1,1,0,1,0
"131",149,-11.7038239515402,309.06959568,36,10,10,3,931,"apin",1,2,1,0,1,0
"132",151,-6.84793023695356,236.016831836,24,7,9,3,348,"toluene",1,1,1,0,1,0
"133",152,-12.9865310313662,315.007389348,30,7,13,4,750,"toluene",2,0,0,0,2,0
"134",153,-6.30639566394833,279.095416504,36,10,8,2,482,"decane",1,2,0,0,1,0
"135",154,-1.16864227534699,271.976423568,22,4,12,1,80,"toluene",0,0,0,0,0,1
"136",155,-3.20271477904096,190.011352532,19,6,7,2,107,"toluene",0,3,1,0,1,0
"137",156,-6.92767670229179,251.027730868,26,7,9,3,179,"toluene",1,0,1,0,1,0
"138",157,-4.65794490990864,253.043380932,28,7,9,2,160,"decane",0,1,0,0,1,1
"139",159,0.571803824200876,220.980780676,18,5,9,1,21,"toluene",1,2,0,0,0,0
"140",160,-7.09745891754888,370.049588508,39,10,13,2,635,"apin",1,1,0,1,1,0
"141",161,-7.29435166454739,300.007723696,28,6,12,3,401,"toluene",1,0,1,0,1,0
"142",162,-7.39453035403234,237.012080804,23,6,9,3,126,"toluene",1,0,1,0,0,1
"143",163,-4.46772225061493,298.97608922,25,6,13,3,465,"toluene",1,0,1,1,1,0
"144",165,-5.33739778869769,297.992073632,26,6,12,1,285,"toluene",0,1,1,0,0,0
"145",166,-10.7783560599926,328.002638316,30,7,13,4,961,"toluene",2,0,1,0,1,0
"146",168,-9.1352460258783,222.001181772,21,6,9,3,350,"toluene",0,1,1,0,2,0
"147",170,-6.22471031038005,322.064844648,36,10,10,1,307,"decane",1,3,0,0,0,0
"148",171,-3.55177908445545,225.012080804,22,5,9,1,210,"toluene",0,0,0,0,1,0
"149",172,-6.86558243522565,312.991739284,28,7,13,3,203,"toluene",1,0,1,1,1,0
"150",173,-11.2458123842061,296.996824664,27,7,12,3,104,"toluene",0,1,1,0,2,0
"151",175,-3.38142159817737,265.006995424,25,7,10,2,225,"toluene",0,1,0,0,2,0
"152",176,2.02532436458548,341.981902872,29,7,14,2,350,"toluene",2,0,0,1,0,0
"153",177,-2.70021827880638,234.99643074,21,6,9,1,23,"toluene",1,2,0,0,0,0
"154",178,-10.430261369612,312.007723696,29,7,12,4,507,"toluene",3,0,1,0,0,0
"155",179,-8.2643579851095,266.98625998,23,6,11,3,490,"toluene",0,1,2,0,1,0
"156",180,-4.81800230120763,294.9811746,25,7,12,2,165,"toluene",1,1,0,1,0,1
"157",181,-3.2794679423171,194.006267152,19,5,8,2,72,"toluene",0,1,0,0,2,0
"158",182,-4.68398614954475,269.001910044,25,6,11,2,118,"toluene",0,1,0,0,2,0
"159",186,-2.40420901360256,296.960439156,23,6,13,2,47,"toluene",0,2,1,1,1,0
"160",187,-2.86207096809823,341.981902872,29,7,14,1,127,"toluene",0,2,1,1,0,0
"161",188,-10.2969749689429,236.016831836,24,7,9,3,212,"toluene",1,0,0,0,1,1
"162",190,-5.87102995608803,357.976817492,30,7,15,3,189,"toluene",2,1,1,1,0,0
"163",191,-3.09946586599234,160.037173356,19,6,5,2,24,"toluene",0,0,1,0,1,0
"164",193,-5.36651235269349,265.07976644,33,9,8,1,104,"apin",0,1,0,0,1,0
"165",194,-2.97170133704616,259.069201756,31,10,7,0,63,"decane",0,4,0,0,0,0
"166",196,-5.92010653926056,310.97608922,26,7,13,3,235,"toluene",0,0,1,1,1,1
"167",197,-3.36108602225142,238.99134536,21,5,10,2,177,"toluene",1,2,0,0,1,0
"168",198,-2.87049795419666,225.012080804,22,5,9,2,156,"toluene",0,0,0,0,2,0
"169",199,-4.05571575420811,280.017894456,27,7,10,1,102,"toluene",0,0,1,0,0,0
"170",200,1.01667455062803,341.945517364,25,6,15,0,53,"toluene",0,2,0,2,0,0
"171",201,-8.8463383815981,299.012474728,29,7,12,3,689,"toluene",1,0,0,0,2,0
"172",202,-9.10237150894891,204.027002596,22,7,7,3,137,"toluene",1,1,1,0,1,0
"173",203,-5.35241993969704,206.006267152,20,6,8,2,132,"toluene",0,1,0,0,2,0
"174",204,-12.3038962383146,299.012474728,29,7,12,4,101,"toluene",2,0,0,0,1,1
"175",205,-5.32400506982446,246.99643074,22,7,9,1,23,"toluene",0,1,1,0,0,0
"176",206,-3.80680282343931,259.069201756,31,10,7,0,77,"decane",0,4,0,0,0,0
"177",207,-4.26584543714525,191.990617088,17,5,8,2,30,"toluene",1,1,0,0,0,1
"178",210,-13.6066796827383,242.02739652,26,6,10,5,668,"toluene",1,0,1,0,3,0
"179",211,-6.72992207499933,342.054673888,37,9,12,2,313,"apin",0,0,1,0,1,0
"180",212,-7.52975631466303,219.985531708,19,6,9,2,112,"toluene",0,2,2,0,0,0
"181",213,-8.11543405465292,338.059759268,37,10,11,1,393,"decane",0,3,0,0,1,0
"182",214,-3.69266717069369,264.970609916,21,6,11,2,24,"toluene",1,3,0,0,0,1
"183",215,-2.09971957982661,262.99134536,23,7,10,1,218,"toluene",0,2,0,0,1,0
"184",216,-4.24921791144782,224.975695296,18,4,10,3,50,"toluene",1,0,2,1,0,0
"185",218,-6.2558321487343,265.006995424,25,7,10,2,39,"",1,2,0,0,1,0
"186",220,-5.81710995463693,267.022645488,27,7,10,3,219,"toluene",3,0,0,0,0,0
"187",222,-8.90319366107074,293.997159012,26,7,11,2,176,"toluene",0,1,1,0,1,0
"188",224,-10.873081214796,283.017560108,28,7,11,4,143,"toluene",3,0,0,0,0,1
"189",225,-3.26346893154927,282.069930028,33,8,9,1,109,"apin",0,0,0,0,1,0
"190",226,-5.86319051501461,281.001910044,26,7,11,2,474,"toluene",1,0,0,1,1,0
"191",228,-2.17949384428986,296.012809076,28,7,11,2,217,"toluene",2,0,0,0,0,0
"192",230,-5.64324173855081,246.99643074,22,7,9,1,32,"toluene",0,1,1,0,0,0
"193",231,-9.39468378996607,240.011746456,24,6,10,5,197,"toluene",2,1,0,0,3,0
"194",232,-5.12252930354999,175.995702468,16,5,7,2,21,"toluene",1,2,1,0,0,0
"195",233,-4.84217424296462,178.011352532,18,5,7,3,62,"toluene",2,1,0,0,1,0
"196",234,-9.48948429626831,235.069201756,29,8,7,2,531,"decane",2,2,0,0,0,0
"197",235,-5.07358475214116,235.032816248,25,7,8,2,218,"apin",1,1,1,0,0,0
"198",236,-4.39408248216874,306.069930028,35,10,9,1,10,"apin",0,1,0,0,1,0
"199",237,-4.87072234000585,269.001910044,25,6,11,3,307,"toluene",2,2,0,1,1,0
"200",238,-2.91406767866521,215.990617088,19,7,8,1,25,"toluene",0,1,0,0,1,0
"201",239,-2.28861606237267,222.073952788,29,8,7,3,96,"apin",1,0,0,0,0,2
"202",240,-5.00031103267127,209.053551692,25,6,7,2,262,"decane",0,0,1,0,1,0
"203",241,-4.86502140688575,266.98625998,23,6,11,2,125,"toluene",0,0,1,1,1,0
"204",242,-4.99288496193396,250.99134536,22,6,10,2,39,"toluene",1,1,0,0,0,1
"205",244,-6.54349588841592,370.049588508,39,10,13,2,733,"apin",1,2,0,1,1,0
"206",245,-5.56163964118496,237.012080804,23,6,9,3,213,"toluene",2,0,0,0,1,0
"207",246,-5.41604558653694,223.069201756,28,7,7,2,281,"decane",1,0,0,0,1,0
"208",247,-4.56339436858958,310.02845914,31,8,11,1,144,"decane",1,2,0,1,0,0
"209",248,-3.82115087617763,176.032087976,20,6,6,2,44,"toluene",1,1,0,0,1,0
"210",249,-4.8965581399258,206.006267152,20,6,8,3,49,"toluene",0,0,1,0,1,1
"211",250,-4.22540851100187,237.012080804,23,6,9,2,215,"toluene",0,1,1,0,1,0
"212",252,-1.09284767360739,311.971338188,25,6,13,1,91,"toluene",1,2,0,1,0,0
"213",253,-1.48390356708701,282.03354452,29,7,10,0,53,"apin",0,2,0,0,0,0
"214",254,-11.106452620786,254.02739652,27,7,10,4,199,"toluene",1,1,1,0,2,0
"215",255,-0.577347671512142,219.074287136,28,8,6,1,57,"apin",1,2,0,0,0,0
"216",256,-1.04080367123699,150.016437912,16,4,6,2,32,"toluene",1,0,0,0,1,0
"217",259,-2.44496040063864,250.99134536,22,6,10,1,156,"toluene",0,2,0,0,1,0
"218",260,-5.55399032236232,206.04265266,24,7,7,3,151,"apin",2,1,0,0,0,1
"219",261,-3.38687386495271,220.058302724,27,8,7,2,85,"apin",0,2,0,0,1,1
"220",263,-2.87409428593776,221.053551692,26,7,7,1,138,"apin",0,2,0,0,1,0
"221",264,-0.573138004737733,294.9811746,25,7,12,1,102,"toluene",0,2,0,1,1,0
"222",266,-7.30867714222657,249.996096392,23,7,10,3,123,"",1,2,1,0,0,1
"223",267,-5.96012991595849,263.064116376,31,9,8,1,150,"apin",0,1,0,0,1,0
"224",268,-10.0955040171912,252.084517472,33,9,8,3,401,"apin",0,1,0,0,2,1
"225",269,-7.34780727144373,246.99643074,22,7,9,3,7,"toluene",2,1,1,0,0,0
"226",270,-6.48152286806713,282.9811746,24,6,12,3,398,"toluene",0,2,1,0,1,1
"227",271,-7.35388976767625,293.07468106,35,10,9,2,235,"apin",1,0,0,0,0,1
"228",272,-4.87406947401066,296.049194584,32,8,10,2,141,"apin",0,0,1,0,1,0
"229",273,-5.92590238330587,283.017560108,28,7,11,3,694,"toluene",2,1,0,1,1,0
"230",275,-10.2377933422704,220.021917216,23,7,8,3,84,"toluene",0,0,1,0,1,1
"231",276,-3.84189259109769,314.02337376,31,7,12,2,193,"apin",1,0,0,1,0,1
"232",277,-7.1533706806671,328.039023824,34,8,12,2,426,"apin",0,0,1,1,1,0
"233",278,-7.08688756105773,299.012474728,29,7,12,3,272,"toluene",2,1,0,1,1,0
"234",279,-9.26094996156649,263.064116376,31,9,8,2,317,"apin",2,1,0,0,0,0
"235",280,-3.80093697461034,222.99643074,20,5,9,3,65,"toluene",3,1,0,0,0,0
"236",281,-6.47065145298846,226.068867408,29,7,8,4,1,"apin",0,0,1,0,3,0
"237",282,-5.41278117556235,221.017166184,22,6,8,2,100,"toluene",1,0,1,0,0,0
"238",283,-6.25297700689907,196.021917216,21,5,8,3,206,"toluene",1,0,0,0,2,0
"239",284,0.486213687181718,191.0066015,18,5,7,1,26,"toluene",0,3,0,0,1,0
"240",285,-10.8540860197109,249.012080804,24,7,9,3,285,"toluene",0,0,2,0,1,0
"241",287,-3.06246813591247,266.98625998,23,6,11,2,31,"toluene",1,1,1,1,0,0
"242",288,1.52849394309493,237.048466312,27,7,8,1,52,"apin",0,1,0,1,1,0
"243",289,-4.24705097903293,253.006995424,24,6,10,2,64,"toluene",0,1,0,0,1,1
"244",290,-12.375184898329,315.007389348,30,7,13,4,824,"toluene",1,0,0,0,3,0
"245",291,-5.31125960148194,261.08485182,33,10,7,2,38,"apin",1,1,1,0,0,0
"246",292,-5.05122641800607,324.080494712,38,10,10,1,288,"decane",1,1,0,1,0,0
"247",293,-4.05197243011458,266.111400916,36,9,7,1,144,"decane",1,0,0,0,0,0
"248",294,-10.6017374431525,234.001181772,22,7,9,3,88,"toluene",2,1,0,0,0,1
"249",295,-3.89140720614709,187.995702468,17,6,7,2,4,"toluene",2,3,0,0,0,0
"250",296,-5.54780107949338,279.059030996,32,9,9,2,59,"apin",0,0,1,1,1,0
"251",297,-4.09652141799063,166.011352532,17,4,7,3,61,"toluene",2,1,0,0,1,0
"252",298,-12.7392118774793,299.012474728,29,7,12,4,227,"toluene",2,0,0,0,1,1
"253",299,-8.73156408355274,220.021917216,23,7,8,3,377,"toluene",1,2,1,0,1,0
"254",300,-7.2390560940389,298.97608922,25,6,13,3,102,"toluene",2,0,0,1,0,1
"255",301,-9.53250315602767,326.096144776,40,10,10,2,381,"decane",0,0,1,0,1,0
"256",302,-4.72531860416248,314.02337376,31,7,12,2,304,"apin",0,0,0,0,1,1
"257",303,-6.51243665990367,311.085245744,38,10,10,3,675,"apin",2,1,0,1,1,0
"258",304,-5.11549540675635,253.006995424,24,6,10,3,97,"toluene",3,1,0,1,0,0
"259",305,-2.28589986272163,266.98625998,23,6,11,1,150,"toluene",0,1,0,1,1,0
"260",306,-1.37456352214757,193.022251564,20,5,7,1,77,"apin",0,1,0,0,1,0
"261",307,-6.10885612060768,361.971732112,30,6,16,2,601,"toluene",0,1,0,1,1,1
"262",308,-12.8173616462051,222.001181772,21,6,9,3,309,"toluene",0,0,1,0,2,0
"263",309,-4.44045012207217,357.976817492,30,7,15,2,96,"toluene",1,1,0,1,0,1
"264",312,-5.09130060271824,294.069930028,34,9,9,1,76,"apin",0,1,0,0,1,0
"265",313,-5.19739587214474,218.115423676,33,10,5,2,296,"decane",1,2,0,0,1,0
"266",314,-3.28236698757859,313.986988252,27,6,13,2,220,"toluene",0,0,1,1,1,0
"267",315,-15.9166936028307,287.012474728,28,6,12,5,73,"toluene",3,0,0,0,2,0
"268",316,-1.81697571404831,306.069930028,35,10,9,0,47,"decane",0,3,0,0,0,0
"269",318,-7.52974988915632,210.99643074,19,4,9,4,242,"toluene",1,0,2,0,1,0
"270",319,-4.31318404413833,307.976423568,25,7,12,1,27,"toluene",0,0,0,1,0,1
"271",320,-0.857626984134641,208.980780676,17,4,9,1,50,"toluene",0,1,1,0,0,0
"272",321,-4.93679331227342,253.043380932,28,7,9,2,347,"apin",0,1,0,0,2,0
"273",322,-3.95210792502009,357.976817492,30,7,15,2,502,"toluene",1,2,1,1,0,0
"274",324,-8.35445314739582,271.017560108,27,6,11,5,112,"toluene",4,0,0,0,1,0
"275",325,-10.18873768522,284.996824664,26,6,12,4,842,"toluene",1,0,2,0,1,0
"276",326,-8.05209707183866,281.001910044,26,7,11,2,249,"toluene",0,1,2,0,0,0
"277",328,-6.34025617248665,222.99643074,20,5,9,2,107,"toluene",1,1,1,0,0,0
"278",329,-3.2025728192605,341.981902872,29,7,14,1,345,"toluene",1,1,0,1,0,0
"279",331,-3.53380335046262,178.084123548,26,7,5,2,95,"apin",0,1,0,0,2,0
"280",332,-3.80308455190563,341.981902872,29,7,14,2,432,"toluene",0,2,1,1,1,0
"281",333,-5.4275304463626,269.001910044,25,6,11,3,259,"toluene",2,1,0,1,1,0
"282",335,-5.87355643975072,191.990617088,17,5,8,3,37,"toluene",2,2,1,0,0,0
"283",336,-6.34498887953164,206.079038168,28,8,6,2,216,"apin",0,0,0,0,2,0
"284",337,-2.48598644362936,311.971338188,25,6,13,1,192,"toluene",0,2,1,0,0,0
"285",338,-9.61178942349429,309.06959568,36,10,10,2,643,"decane",0,3,0,0,2,0
"286",339,-7.47785577658059,249.012080804,24,7,9,2,208,"toluene",0,2,1,0,1,0
"287",340,-14.0036501023815,283.017560108,28,7,11,5,602,"toluene",3,0,1,0,1,0
"288",341,-3.13168919605424,269.001910044,25,6,11,2,257,"toluene",1,1,0,1,1,0
"289",342,-7.97050685318202,312.007723696,29,7,12,3,453,"toluene",2,1,0,0,1,0
"290",344,-1.68181256436388,221.017166184,22,6,8,1,16,"toluene",0,1,0,0,1,0
"291",345,-8.57892544447313,308.085580092,37,10,9,1,312,"decane",1,2,0,0,0,0
"292",347,-5.13350021285639,237.121237328,35,9,6,2,233,"decane",1,0,0,0,1,0
"293",348,-11.8854630022671,234.110338296,34,10,6,3,1005,"decane",2,2,0,0,1,0
"294",349,-9.81477230848676,284.996824664,26,6,12,4,327,"toluene",1,0,1,0,1,1
"295",351,-4.28017838706018,231.00151612,21,7,8,1,13,"toluene",1,2,0,0,0,0
