ID,log_pSat_Pa,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
106,-6.556669696906142,278.98625998000006,24,7,11,1,2,107.0,10.0,toluene,1,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0
111,-8.626577309278883,328.00263831599995,30,7,13,2,3,66.0,5.0,toluene,0,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0
112,-7.730785665267323,310.97608921999995,26,7,13,1,3,281.0,8.0,toluene,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0
116,-7.148513554729037,249.08485182,32,9,7,1,2,85.0,17.0,apin,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
117,-3.1764049885225925,248.97569529600003,20,6,10,1,1,55.0,40.0,toluene,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0
118,-7.893433261843302,328.00263831599995,30,7,13,2,3,160.0,8.0,toluene,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
119,-9.662252157700662,206.04265266,24,7,7,0,3,29.0,6.0,toluene,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0
121,-5.173242712288052,206.006267152,20,6,8,0,3,166.0,14.0,toluene,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
122,2.967621944352423,160.996036816,14,4,6,1,0,4.0,4.0,toluene,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
123,-4.570058540114743,253.043380932,28,7,9,1,3,589.0,10.0,apin,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0
124,-1.2462034925116254,234.99643074,21,6,9,1,1,38.0,36.0,toluene,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
125,-4.2367186817168365,194.006267152,19,5,8,0,3,336.0,27.0,toluene,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0
126,-1.4830433905815767,252.97060991600003,20,5,11,1,1,17.0,7.0,toluene,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
127,-2.3927680826055817,282.9811746,24,6,12,1,2,204.0,40.0,toluene,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0
128,-6.645421267550906,299.012474728,29,7,12,1,3,344.0,40.0,toluene,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0
129,-0.3360622924389286,240.970609916,19,4,11,1,2,110.0,32.0,toluene,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
130,-6.393005005617344,312.007723696,29,7,12,2,2,407.0,40.0,toluene,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0
131,-2.646662289805701,217.022251564,22,7,7,1,2,17.0,6.0,toluene,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
132,-2.1838035962645983,341.9819028719999,29,7,14,2,1,48.0,23.0,toluene,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
133,-3.1601775915297647,280.054279964,31,8,9,2,1,152.0,40.0,apin,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
134,-8.058380336144683,257.00191004400006,24,5,11,1,4,564.0,11.0,toluene,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
135,-1.8575596029810197,174.089208928,26,8,4,0,1,33.0,24.0,apin,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
137,-7.780898228282492,328.00263831599995,30,7,13,2,4,810.0,31.0,toluene,0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0
138,-6.402044331165038,361.9717321119999,30,6,16,2,3,469.0,40.0,toluene,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0
139,-6.422363234752774,343.9975529359999,31,7,14,2,4,410.0,27.0,toluene,0,0,3,1,1,0,0,0,0,1,0,1,0,1,0,0
140,-3.849996621625632,226.99134536000005,20,4,10,1,2,216.0,40.0,toluene,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
141,-2.297505973294961,312.007723696,29,7,12,2,1,131.0,40.0,apin,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
142,-11.340126469470682,234.073952788,30,9,7,0,3,430.0,14.0,decane,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
143,-2.3454118344224595,218.006267152,21,7,8,0,2,1.0,1.0,toluene,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0
144,-3.5599137074870106,292.090665472,36,10,8,2,1,59.0,31.0,apin,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
145,-1.741421138067592,361.9717321119999,30,6,16,2,2,302.0,40.0,toluene,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
146,-7.1611959122792594,186.016437912,19,7,6,0,2,35.0,22.0,toluene,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
148,-5.7939338313860915,249.012080804,24,7,9,1,2,42.0,16.0,toluene,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
149,-11.70382395154025,309.06959568,36,10,10,1,3,931.0,40.0,apin,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0
151,-6.847930236953564,236.016831836,24,7,9,0,3,348.0,32.0,toluene,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
152,-12.98653103136624,315.00738934799995,30,7,13,1,4,750.0,7.0,toluene,0,0,2,2,0,0,0,0,1,0,0,0,1,2,0,0
153,-6.30639566394833,279.095416504,36,10,8,1,2,482.0,40.0,decane,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
154,-1.1686422753469925,271.976423568,22,4,12,2,1,80.0,32.0,toluene,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
155,-3.2027147790409614,190.011352532,19,6,7,0,2,107.0,33.0,toluene,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0
156,-6.927676702291792,251.027730868,26,7,9,1,3,179.0,20.0,toluene,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
157,-4.657944909908637,253.043380932,28,7,9,1,2,160.0,10.0,decane,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
159,0.5718038242008756,220.980780676,18,5,9,1,1,21.0,12.0,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0
160,-7.097458917548878,370.049588508,39,10,13,2,2,635.0,40.0,apin,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
161,-7.294351664547387,300.007723696,28,6,12,2,3,401.0,40.0,toluene,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0
162,-7.3945303540323355,237.012080804,23,6,9,1,3,126.0,2.0,toluene,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
163,-4.467722250614929,298.97608922,25,6,13,1,3,465.0,12.0,toluene,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
165,-5.337397788697688,297.992073632,26,6,12,2,1,285.0,40.0,toluene,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0
166,-10.778356059992596,328.00263831599995,30,7,13,2,4,961.0,40.0,toluene,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0
168,-9.135246025878303,222.001181772,21,6,9,0,3,350.0,40.0,toluene,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0
170,-6.2247103103800505,322.064844648,36,10,10,2,1,307.0,40.0,decane,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0
171,-3.5517790844554473,225.012080804,22,5,9,1,1,210.0,40.0,toluene,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0
172,-6.865582435225646,312.991739284,28,7,13,1,3,203.0,36.0,toluene,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0
173,-11.245812384206056,296.996824664,27,7,12,1,3,104.0,5.0,toluene,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0
175,-3.3814215981773708,265.006995424,25,7,10,1,2,225.0,40.0,toluene,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0
176,2.025324364585476,341.9819028719999,29,7,14,2,2,350.0,28.0,toluene,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0
177,-2.70021827880638,234.99643074,21,6,9,1,1,23.0,8.0,toluene,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
178,-10.430261369611971,312.007723696,29,7,12,2,4,507.0,40.0,toluene,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0
179,-8.2643579851095,266.98625998000006,23,6,11,1,3,490.0,40.0,toluene,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0
180,-4.818002301207634,294.9811746,25,7,12,1,2,165.0,20.0,toluene,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
181,-3.279467942317104,194.006267152,19,5,8,0,2,72.0,15.0,toluene,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0
182,-4.683986149544748,269.00191004400006,25,6,11,1,2,118.0,40.0,toluene,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0
186,-2.4042090136025607,296.960439156,23,6,13,1,2,47.0,4.0,toluene,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0
187,-2.8620709680982275,341.9819028719999,29,7,14,2,1,127.0,40.0,toluene,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0
188,-10.296974968942896,236.016831836,24,7,9,0,3,212.0,14.0,toluene,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0
190,-5.871029956088034,357.9768174919999,30,7,15,2,3,189.0,40.0,toluene,0,0,2,0,1,1,0,0,1,0,0,1,1,0,0,0
191,-3.099465865992336,160.03717335599998,19,6,5,0,2,24.0,12.0,toluene,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
193,-5.366512352693485,265.07976644,33,9,8,1,1,104.0,40.0,apin,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
194,-2.971701337046156,259.06920175600004,31,10,7,1,0,63.0,40.0,decane,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
196,-5.920106539260563,310.97608922,26,7,13,1,3,235.0,32.0,toluene,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
197,-3.3610860222514187,238.99134536000005,21,5,10,1,2,177.0,25.0,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0
198,-2.870497954196656,225.012080804,22,5,9,1,2,156.0,34.0,toluene,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1
199,-4.055715754208113,280.017894456,27,7,10,2,1,102.0,40.0,toluene,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
200,1.0166745506280341,341.9455173639999,25,6,15,2,0,53.0,40.0,toluene,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0
201,-8.846338381598098,299.01247472800003,29,7,12,1,3,689.0,40.0,toluene,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0
202,-9.102371508948906,204.027002596,22,7,7,0,3,137.0,3.0,toluene,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
203,-5.352419939697043,206.006267152,20,6,8,0,2,132.0,40.0,toluene,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0
204,-12.303896238314625,299.012474728,29,7,12,1,4,101.0,10.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0
205,-5.324005069824465,246.99643074,22,7,9,1,1,23.0,11.0,toluene,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
206,-3.8068028234393134,259.06920175600004,31,10,7,1,0,77.0,40.0,decane,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
207,-4.265845437145251,191.990617088,17,5,8,0,2,30.0,16.0,toluene,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0
210,-13.606679682738314,242.02739652,26,6,10,0,5,668.0,40.0,toluene,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0
211,-6.729922074999332,342.054673888,37,9,12,2,2,313.0,40.0,apin,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0
212,-7.529756314663028,219.985531708,19,6,9,0,2,112.0,21.0,toluene,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
213,-8.115434054652924,338.05975926799994,37,10,11,2,1,393.0,40.0,decane,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0
214,-3.6926671706936935,264.97060991600006,21,6,11,1,2,24.0,9.0,toluene,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0
215,-2.0997195798266057,262.99134536,23,7,10,1,1,218.0,40.0,toluene,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0
216,-4.2492179114478175,224.975695296,18,4,10,1,3,50.0,3.0,toluene,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
218,-6.255832148734297,265.006995424,25,7,10,1,2,39.0,17.0,,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0
220,-5.81710995463693,267.022645488,27,7,10,1,3,219.0,6.0,toluene,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0
222,-8.903193661070736,293.997159012,26,7,11,2,2,176.0,40.0,toluene,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
224,-10.873081214796004,283.017560108,28,7,11,1,4,143.0,1.0,toluene,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0
225,-3.2634689315492684,282.069930028,33,8,9,2,1,109.0,40.0,apin,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
